name,phone,email,city,product,amount,date,note
张 伟,138 0013 8000,ZhangWei@QQ.com ,上海,企业版年费,"12,800",2026/9/1,老客户续费
李娜,139-0013-9000,lina@163.com,杭州,维修服务,680,2026年9月2日,机器报错E12
王强,+86-137-0013-7000,wangqiang@gmail.com,北京,标准版,3200,2026.9.3,新签
赵敏,13600136000,zhaomin@qq.com,上海,标准版,"3,200",20260905,
陈静,13500135000,,广州,维修服务,"1,050",2026-09-05,上门
刘洋,13400134000,liuyang@foxmail.com,南京,企业版年费,"15,600",2026/9/6,招投标用
孙丽,13300133000,sunli@qq.com,成都,标准版,3200,2026/9/7,
周涛,13200132000,zhoutao@qq.com,上海,配件,260,2026/9/8,加急
吴敏,13100131000,wumin@qq.com,苏州,配件,,2026/9/9,金额待确认
郑浩,13000130000,zhenghao@qq.com,杭州,标准版,3200,2026/9/10,
